model_slug,temperature,decoder,contrast,metric,paired_contexts,mean_paired_difference,median_paired_difference,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_05,family_definition
mistral7b-v03-base,1.0,top_p,top-p .80→.99,mtld,31,22.29643280227464,27.830188679245282,93.0,0.012250105740979877,1.0,False,156 secondary endpoint tests
mistral7b-v03-base,1.0,min_p,min-p .10→.01,ttr,41,0.07121951219512196,0.07000000000000006,101.5,3.3457127080455745e-05,0.004750912045424716,True,156 secondary endpoint tests
mistral7b-v03-base,1.0,min_p,min-p .10→.01,mtld,41,17.634145626518418,10.628019323671495,185.0,0.0024921586112953316,0.2915825575215538,False,156 secondary endpoint tests
mistral7b-v03-instruct,0.7,top_k,top-k 10→80,ttr,50,0.0025999999999999955,0.0,239.0,0.6396045093169241,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,0.7,top_k,top-k 10→80,mtld,50,-2.1387338364214097,0.0,178.5,0.5768757115744128,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,0.7,top_p,top-p .80→.99,ttr,50,0.0013999999999999946,0.0,407.5,0.7652640155031618,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,0.7,top_p,top-p .80→.99,mtld,50,2.4147865004425113,0.0,428.0,0.5868560645402783,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,0.7,min_p,min-p .10→.01,ttr,50,0.011800000000000007,0.010000000000000009,352.0,0.09403405614540387,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,0.7,min_p,min-p .10→.01,mtld,50,5.662345590052228,1.8440643022067178,370.5,0.14619948669875302,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,1.0,top_k,top-k 10→80,ttr,50,0.0006000000000000039,0.0,430.5,0.7921549866227926,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,1.0,top_k,top-k 10→80,mtld,50,0.6312680134763969,0.0,420.0,0.6936548341143105,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,1.0,top_p,top-p .80→.99,ttr,50,0.0116,0.014999999999999958,390.0,0.14975041184563642,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,1.0,top_p,top-p .80→.99,mtld,50,7.108031101915982,3.7037037037036953,414.0,0.11240663259912256,1.0,False,156 secondary endpoint tests
mistral7b-v03-instruct,1.0,min_p,min-p .10→.01,ttr,50,0.0232,0.020000000000000018,254.5,0.004962518677509626,0.5359520171710396,False,156 secondary endpoint tests
mistral7b-v03-instruct,1.0,min_p,min-p .10→.01,mtld,50,11.648173790438802,11.20760959470637,313.0,0.00789927686276329,0.8281068244996053,False,156 secondary endpoint tests
qwen25-14b-base,0.7,top_k,top-k 10→80,ttr,39,0.017179487179487175,0.010000000000000009,261.0,0.17134973587672164,1.0,False,156 secondary endpoint tests
qwen25-14b-base,0.7,top_k,top-k 10→80,mtld,39,5.124998267011617,3.3326985336126285,258.0,0.10278359199695374,1.0,False,156 secondary endpoint tests
qwen25-14b-base,0.7,top_p,top-p .80→.99,ttr,42,0.050238095238095234,0.04999999999999999,176.5,0.0009943721726748313,0.12529089375702876,False,156 secondary endpoint tests
qwen25-14b-base,0.7,top_p,top-p .80→.99,mtld,42,9.956337073806035,6.379538725261028,230.0,0.015543534418043682,1.0,False,156 secondary endpoint tests
qwen25-14b-base,0.7,min_p,min-p .10→.01,ttr,43,0.06534883720930232,0.040000000000000036,172.5,0.00048341091724449984,0.06284341924178498,False,156 secondary endpoint tests
qwen25-14b-base,0.7,min_p,min-p .10→.01,mtld,43,14.459908269491793,12.463585373277105,140.0,5.792559517973677e-05,0.008167508920342886,True,156 secondary endpoint tests
qwen25-14b-base,1.0,top_k,top-k 10→80,ttr,40,0.042499999999999996,0.040000000000000036,130.0,0.0004838512579357219,0.06284341924178498,False,156 secondary endpoint tests
qwen25-14b-base,1.0,top_k,top-k 10→80,mtld,40,13.029029890155394,12.427704752275027,210.0,0.012008323853886447,1.0,False,156 secondary endpoint tests
qwen25-14b-base,1.0,top_p,top-p .80→.99,ttr,42,0.06452380952380954,0.06999999999999995,46.5,1.621533990649444e-06,0.00025133776855066383,True,156 secondary endpoint tests
qwen25-14b-base,1.0,top_p,top-p .80→.99,mtld,42,25.212860328387457,27.8158121608601,102.5,6.01658072601015e-05,0.00842321301641421,True,156 secondary endpoint tests
qwen25-14b-base,1.0,min_p,min-p .10→.01,ttr,37,0.06297297297297297,0.07000000000000006,78.0,0.00010294223050964503,0.014206027810331014,True,156 secondary endpoint tests
qwen25-14b-base,1.0,min_p,min-p .10→.01,mtld,37,16.66077294536198,13.333333333333336,146.0,0.0014302863855846226,0.17306465265573934,False,156 secondary endpoint tests
qwen25-14b-instruct,0.7,top_k,top-k 10→80,ttr,50,0.00019999999999999573,0.0,412.5,0.8148422880272322,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,0.7,top_k,top-k 10→80,mtld,50,-0.34643997842222163,0.0,393.0,0.8192238603913337,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,0.7,top_p,top-p .80→.99,ttr,50,0.012200000000000003,0.010000000000000009,337.0,0.0644902610345554,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,0.7,top_p,top-p .80→.99,mtld,50,6.323117960330214,5.797101449275374,381.5,0.12474252876148156,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,0.7,min_p,min-p .10→.01,ttr,50,0.002800000000000009,0.0,526.0,0.686927250825602,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,0.7,min_p,min-p .10→.01,mtld,50,2.9882467337270833,0.0,540.0,0.7995022299955061,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,1.0,top_k,top-k 10→80,ttr,50,0.0015999999999999992,-0.0050000000000000044,490.0,0.9532723949093748,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,1.0,top_k,top-k 10→80,mtld,50,-1.9102546798325934,-4.706812369216465,410.0,0.4467692828814148,1.0,False,156 secondary endpoint tests
qwen25-14b-instruct,1.0,top_p,top-p .80→.99,ttr,49,0.02061224489795918,0.020000000000000018,276.0,0.003819486599194885,0.42396301251063223,False,156 secondary endpoint tests
qwen25-14b-instruct,1.0,top_p,top-p .80→.99,mtld,49,17.016102577040588,15.27272727272728,292.5,0.004063149661724807,0.44694646278972877,False,156 secondary endpoint tests
qwen25-14b-instruct,1.0,min_p,min-p .10→.01,ttr,50,0.021599999999999987,0.024999999999999967,279.0,0.0025366225430084096,0.2942482149889755,False,156 secondary endpoint tests
qwen25-14b-instruct,1.0,min_p,min-p .10→.01,mtld,50,17.196556593505186,15.414141414141383,245.0,0.0007349948236529355,0.0933443426039228,False,156 secondary endpoint tests
qwen35-9b-base,0.7,top_k,top-k 10→80,ttr,50,0.0392,0.044999999999999984,342.0,0.004326434892784198,0.47158140331347753,False,156 secondary endpoint tests
qwen35-9b-base,0.7,top_k,top-k 10→80,mtld,50,10.628392576717138,6.93455423908903,269.5,0.0010879696758044192,0.1359962094755524,False,156 secondary endpoint tests
qwen35-9b-base,0.7,top_p,top-p .80→.99,ttr,50,0.0504,0.034999999999999976,275.0,0.0037144667330718858,0.4160202741040512,False,156 secondary endpoint tests
qwen35-9b-base,0.7,top_p,top-p .80→.99,mtld,50,5.824323436360744,7.13605244461667,368.0,0.015008507710375183,1.0,False,156 secondary endpoint tests
qwen35-9b-base,0.7,min_p,min-p .10→.01,ttr,49,0.05224489795918368,0.040000000000000036,345.5,0.007886731661901002,0.8281068244996053,False,156 secondary endpoint tests
qwen35-9b-base,0.7,min_p,min-p .10→.01,mtld,49,5.405923396631725,6.853070175438599,464.5,0.14096452628367212,1.0,False,156 secondary endpoint tests
qwen35-9b-base,1.0,top_k,top-k 10→80,ttr,49,0.05020408163265305,0.039999999999999925,222.5,0.00029771832251241525,0.04019197353917606,True,156 secondary endpoint tests
qwen35-9b-base,1.0,top_k,top-k 10→80,mtld,49,10.498484534893812,3.9886039886040123,328.5,0.02054754173109911,1.0,False,156 secondary endpoint tests
qwen35-9b-base,1.0,top_p,top-p .80→.99,ttr,47,0.058297872340425515,0.05999999999999994,130.0,7.228689522934604e-06,0.001077074738917256,True,156 secondary endpoint tests
qwen35-9b-base,1.0,top_p,top-p .80→.99,mtld,47,25.870927686481227,21.739130434782624,186.0,0.00010745848578841416,0.01472181255301274,True,156 secondary endpoint tests
qwen35-9b-base,1.0,min_p,min-p .10→.01,ttr,50,0.0708,0.05999999999999994,134.5,9.095805198575874e-06,0.0013370833641906535,True,156 secondary endpoint tests
qwen35-9b-base,1.0,min_p,min-p .10→.01,mtld,50,20.060277291472545,16.27982002352484,198.0,2.209049699858536e-05,0.0031810315677962917,True,156 secondary endpoint tests
qwen35-9b-instruct,0.7,top_k,top-k 10→80,ttr,50,-0.0010000000000000009,0.0,103.0,0.9400202957103451,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,0.7,top_k,top-k 10→80,mtld,50,-1.0608803282487502,0.0,74.5,0.9245509377742263,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,0.7,top_p,top-p .80→.99,ttr,50,-0.0020000000000000083,0.009999999999999953,591.0,0.8302004395620818,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,0.7,top_p,top-p .80→.99,mtld,50,-1.8561700816108924,4.1481481481481595,559.0,0.7660456175230433,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,0.7,min_p,min-p .10→.01,ttr,50,0.003999999999999988,0.010000000000000009,462.0,0.38961490402414023,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,0.7,min_p,min-p .10→.01,mtld,50,0.31507435987220234,0.0,445.0,0.7352493559717104,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,1.0,top_k,top-k 10→80,ttr,50,0.0032000000000000028,0.0,186.5,0.5013508642720457,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,1.0,top_k,top-k 10→80,mtld,50,0.051423285483217285,0.0,187.0,0.7155667906361521,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,1.0,top_p,top-p .80→.99,ttr,50,0.011000000000000005,0.010000000000000009,368.5,0.09198051970946935,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,1.0,top_p,top-p .80→.99,mtld,50,6.454646945380242,8.202898550724633,325.5,0.0478759153955296,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,1.0,min_p,min-p .10→.01,ttr,50,2.220446049250313e-18,0.0,515.5,0.9819634804153936,1.0,False,156 secondary endpoint tests
qwen35-9b-instruct,1.0,min_p,min-p .10→.01,mtld,50,1.6472428450565217,0.0,463.0,0.9038807141785894,1.0,False,156 secondary endpoint tests
