temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
1.5,google/gemma-3-27b-it,top_k,11.0,0.7,0.0,70,0,100,170,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,12.0,0.7,0.0,70,0,100,176,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,13.0,0.71,0.0,71,0,100,182,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,14.0,0.71,0.0,71,0,100,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,15.0,0.71,0.0,71,0,100,193,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,16.0,0.74,0.0,74,0,100,198,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,17.0,0.75,0.0,75,0,100,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,18.0,0.75,0.0,75,0,100,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,19.0,0.75,0.0,75,0,100,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,20.0,0.76,0.0,76,0,100,216,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.5,0.87,0.0,87,0,100,276,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.55,0.92,0.0,92,0,100,340,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.6,0.93,0.0,93,0,100,388,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.65,0.95,0.0,95,0,100,454,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.7,0.96,0.0,96,0,100,536,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.75,0.99,0.03,99,3,100,623,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.8,0.99,0.06,99,6,100,697,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.85,1.0,0.14,100,14,100,784,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.9,1.0,0.29,100,29,100,873,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.95,1.0,0.67,100,67,100,954,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.99,1.0,0.98,100,98,100,998,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.01,0.93,0.0,93,0,100,366,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.02,0.87,0.0,87,0,100,284,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.03,0.85,0.0,85,0,100,244,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.04,0.82,0.0,82,0,100,219,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.05,0.78,0.0,78,0,100,201,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.06,0.77,0.0,77,0,100,196,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.07,0.73,0.0,73,0,100,186,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.08,0.73,0.0,73,0,100,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.09,0.67,0.0,67,0,100,161,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.1,0.67,0.0,67,0,100,157,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
